state,state_abbr,region,dep_before,dep_before_lo,dep_before_hi,dep_during,dep_postpartum,ins_none_before,ins_private_before,ins_medicaid_before,smoke_before,prenatal_1strim,bf_ever,state_id,_est_m1,_est_m2,_est_m3
Alabama,AL,South,16.9,14.3,19.8,17.4,16.2,18.5,60.4,21.1,12.9,86.7,85.40000000000001,1,1,1,1
Arizona,AZ,West,16.9,14.4,19.6,16.7,11.7,11.5,53.1,35.5,9.5,87.3,91.5,2,1,1,1
Colorado,CO,West,15.8,13.6,18.3,19.4,12.5,12.1,64.40000000000001,23.4,7.9,92.09999999999999,95.5,3,1,1,1
Connecticut,CT,Northeast,13.5,11.1,16.3,14.4,12.2,11.9,60.9,27.2,8.4,90.3,91,4,1,1,1
Delaware,DE,South,18.6,15.8,21.6,17.8,10.4,12.9,58.8,26.9,10.2,77,88.8,5,1,1,1
District of Columbia,DC,South,10.2,7.3,14,16.2,14.6,5.9,53.9,35.4,4.8,86.3,93.3,6,1,1,1
Hawaii,HI,West,9.5,7.5,11.9,9.9,13,3.6,68.7,27.6,6.4,84,96.59999999999999,7,1,1,1
Kansas,KS,Midwest,21.3,18.3,24.5,21.3,11.9,11.5,72.40000000000001,16.1,11.9,88.5,91.3,8,1,1,1
Kentucky,KY,South,24.3,20.5,28.5,21.7,17.6,10.2,55.1,34.8,18.7,87.59999999999999,81.8,9,1,1,1
Maine,ME,Northeast,22.4,18.8,26.5,16.3,9.800000000000001,6.1,67.59999999999999,26.3,15.5,92.90000000000001,94.40000000000001,10,1,1,1
Massachusetts,MA,Northeast,14.4,12,17.1,13,10,3.1,67.09999999999999,29.2,4.6,93.40000000000001,92.2,11,1,1,1
Michigan,MI,Midwest,20.4,17.9,23.1,19.6,14.3,5,63.1,30.6,12,87.5,90,12,1,1,1
Missouri,MO,Midwest,25.3,22.1,28.7,25,15.6,16.4,61.8,21.8,16.7,89.59999999999999,92.59999999999999,13,1,1,1
Montana,MT,West,21.8,18.9,25,19.3,12.5,7.7,61.1,31.2,14.9,87.8,94.90000000000001,14,1,1,1
Nebraska,NE,Midwest,20.2,17,23.9,19.2,12.8,10.9,72.5,16.6,11.2,91.09999999999999,92.09999999999999,15,1,1,1
New Jersey,NJ,Northeast,7,5.4,9,7.7,9,14.5,62,21.3,5.2,85.09999999999999,90.7,16,1,1,1
New Mexico,NM,West,19.8,17.3,22.4,20.4,12.4,10.3,43.3,46.1,12.5,87.2,91.3,17,1,1,1
New York City,NYC,Northeast,6,4.6,7.6,6.3,11.5,7.9,50.7,41.3,3.8,85.90000000000001,94,18,1,1,1
New York State,NY,Northeast,17.9,14.9,21.5,17.4,12.4,5.6,68.59999999999999,25.8,12.2,93.3,89.40000000000001,19,1,1,1
North Dakota,ND,Midwest,17.9,14.1,22.4,18.6,10.5,9.6,71.40000000000001,19,12.5,90.3,91.8,20,1,1,1
Northern Mariana Islands,NMI,Territory,9.1,6.6,12.4,10.6,23.2,8.4,33.5,57.4,13.3,75.40000000000001,97.90000000000001,21,1,1,1
Oklahoma,OK,South,20.8,17.7,24.2,21.3,14.9,22.7,54.7,21,14.9,85.7,91.59999999999999,22,1,1,1
Pennsylvania,PA,Northeast,20.6,17.5,24,17.1,12.4,9.1,63.7,27.2,10.1,88.7,89,23,1,1,1
Puerto Rico,PR,Territory,6.2,4.7,8.199999999999999,8.699999999999999,17.7,3.1,35.7,61.2,4.4,89.90000000000001,90.90000000000001,24,1,1,1
Rhode Island,RI,Northeast,15.4,12.7,18.6,19,8,10.6,70.59999999999999,18.8,7,91,89.3,25,1,1,1
South Dakota,SD,Midwest,22.2,19.3,25.4,22.6,11,12.2,70.2,17.6,16.5,86,91.09999999999999,26,1,1,1
Utah,UT,West,24.5,21.7,27.5,24.7,15.3,9.300000000000001,79.8,10.9,4.1,90.5,92.90000000000001,27,1,1,1
Vermont,VT,Northeast,23.5,20.7,26.6,23,12.9,5.1,64.2,30.6,14.1,93.90000000000001,96.5,28,1,1,1
Virginia,VA,South,15.5,12,19.8,16.9,14,14.4,66.2,19.4,7.1,86.90000000000001,92.09999999999999,29,1,1,1
Washington,WA,West,16.5,13.8,19.6,16.3,11.8,8.300000000000001,70.5,21.2,6.7,90.2,96.59999999999999,30,1,1,1
Wisconsin,WI,Midwest,19.3,16,23.1,18.7,9.199999999999999,9.4,66.90000000000001,23.7,11.4,87.40000000000001,89.8,31,1,1,1
Wyoming,WY,West,26.4,21.6,31.8,21.6,14.4,13.6,71.40000000000001,15,17,88.3,92.90000000000001,32,1,1,1
